Var;X;Y
his_xy_s;0.02645382;0.125427594
his_x_e;0.217103763;
his_y_e;;0.814139111
his_y_d;;0.016797842
fus_xy;0.545496009;0.220068415
min_xy_s;0.245381984;0.254275941
min_xy_e;0.290992018;0.841505131
max_xy_s;0.290992018;0.254275941
max_xy_e;0.336602052;0.841505131
eff_xy_s;0.336602052;0.254275941
eff_xy_e;0.519042189;0.841505131
run_xy_s;0.582896237;0.316989738
run_x_e;0.674116306;
run_x_d;0.045610034;
run_y_e;;0.81299886
run_y_d;;0.038154548
sea_xy;0.865678449;0.761687571
inv_xy;0.756214367;0.180159635
col_xy;0.473432155;0.157354618
sab_xy;1.151197263;0.069555302
inf_xy;0.92041049;0.100342075
uef_xy_s;0.336602052;0.30672748
uef_y_d;;0.038154548
uef_y_de;;0.021664766
uef_x_e;0.519042189;
uef_x_de;0.182440137;
umi_xy_s;0.245381984;0.30672748
umi_y_d;;0.038154548
umi_y_de;;0.021664766
umi_x_e;0.519042189;
umi_x_de;0.273660205;
uma_xy_s;0.245381984;0.30672748
uma_y_d;;0.038154548
uma_y_de;;0.021664766
uma_x_e;0.519042189;
uma_x_de;0.273660205;
asc_xy_1;0.696009122;0.316989738
asc_xy_2;0.696009122;0.354618016
asc_xy_3;0.696009122;0.81299886
min2_xy_s;0.245381984;0.254275941
min2_xy_e;0.290992018;0.841505131
max2_xy_s;0.290992018;0.254275941
max2_xy_e;0.336602052;0.841505131
eff2_xy_s;0.336602052;0.254275941
eff2_xy_e;0.519042189;0.841505131
itm_xy;0.418700114;0.157354618
cht_xy;0.19977195;0.987457241
lvl_xy_s;0.385860889;0.153933865
lvl_xy_e;0.451539339;0.174458381
