Var,X,Y
his_xy_s,0.02645382,0.125427594
his_x_e,0.208893957,
his_y_e,,0.814139111
his_y_d,,0.016797842
fus_xy,0.545496009,0.220068415
min_xy_s,0.245381984,0.254275941
min_xy_e,0.290992018,0.841505131
max_xy_s,0.290992018,0.254275941
max_xy_e,0.336602052,0.841505131
eff_xy_s,0.336602052,0.254275941
eff_xy_e,0.519042189,0.841505131
run_xy_s,0.582896237,0.316989738
run_x_e,0.674116306,
run_x_d,0.045610034,
run_y_e,,0.81299886
run_y_d,,0.038154548
sea_xy,0.865678449,0.761687571
inv_xy,0.756214367,0.180159635
col_xy,0.473432155,0.157354618
